	GeoArea_FIPS	GeoArea_Name	Economic_Measure_Code	Economic_Measure_Name	Data_Period_Business_Key	Published_Value	Published_UOM	Estimated_Real_Value	Estimation_Qualifier	Unit_of_Measure_Code	Default_Scale	Data_Period_Type	Data_Period_Name	Data_Period_Begin_Datetime	Calculation_Type	Measure_Hierarchy_Level	GeoFIPS_Type	County_FIPS	County_Name	PZ_Name	WDB_Name	State_FIPS	State_Name	Region_FIPS	Region_Name	Nation_FIPS	Nation_Name
97	" ""37193"""	Wilkes, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	66694	UNIT	66694			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37193"""	Wilkes, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	0	USA
98	" ""37195"""	Wilson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	74232	UNIT	74232			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37195"""	Wilson, NC	North Central	Turning Point	37000	North Carolina	95000	Southeast	0	USA
99	" ""37197"""	Yadkin, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	36837	UNIT	36837			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37197"""	Yadkin, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	0	USA
100	" ""37199"""	Yancey, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	17789	UNIT	17789			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37199"""	Yancey, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	0	USA
101	" ""37000"""	North Carolina	BEA_CA5N_0020	Population (persons) 2/	2001.0	8210122	UNIT	8210122			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37000"""	North Carolina			37000	North Carolina	95000	Southeast	0	USA
102	" ""37001"""	Alamance, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	133346	UNIT	133346			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37001"""	Alamance, NC	Piedmont-Triad	Regional Partnership	37000	North Carolina	95000	Southeast	0	USA
103	" ""37003"""	Alexander, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	34187	UNIT	34187			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37003"""	Alexander, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	0	USA
104	" ""37005"""	Alleghany, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	10740	UNIT	10740			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37005"""	Alleghany, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	0	USA
105	" ""37007"""	Anson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	25553	UNIT	25553			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37007"""	Anson, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	0	USA
106	" ""37009"""	Ashe, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	24750	UNIT	24750			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37009"""	Ashe, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	0	USA
107	" ""37011"""	Avery, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	17706	UNIT	17706			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37011"""	Avery, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	0	USA
108	" ""37013"""	Beaufort, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	45084	UNIT	45084			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37013"""	Beaufort, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	0	USA
109	" ""37015"""	Bertie, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	19829	UNIT	19829			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37015"""	Bertie, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	0	USA
110	" ""37017"""	Bladen, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	32714	UNIT	32714			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37017"""	Bladen, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	0	USA
111	" ""37019"""	Brunswick, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	76005	UNIT	76005			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37019"""	Brunswick, NC	Southeast	Cape Fear	37000	North Carolina	95000	Southeast	0	USA
112	" ""37021"""	Buncombe, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	209104	UNIT	209104			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37021"""	Buncombe, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	0	USA
113	" ""37023"""	Burke, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	89525	UNIT	89525			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37023"""	Burke, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	0	USA
114	" ""37025"""	Cabarrus, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	136463	UNIT	136463			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37025"""	Cabarrus, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	0	USA
115	" ""37027"""	Caldwell, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	78375	UNIT	78375			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37027"""	Caldwell, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	0	USA
116	" ""37029"""	Camden, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	7100	UNIT	7100			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37029"""	Camden, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
117	" ""37031"""	Carteret, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	59790	UNIT	59790			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37031"""	Carteret, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
118	" ""37033"""	Caswell, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	23610	UNIT	23610			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37033"""	Caswell, NC	Piedmont-Triad	Kerr-Tar	37000	North Carolina	95000	Southeast	0	USA
119	" ""37035"""	Catawba, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	144865	UNIT	144865			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37035"""	Catawba, NC	Northwest	Western Piedmont	37000	North Carolina	95000	Southeast	0	USA
120	" ""37037"""	Chatham, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	51482	UNIT	51482			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37037"""	Chatham, NC	North Central	Triangle South	37000	North Carolina	95000	Southeast	0	USA
121	" ""37039"""	Cherokee, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	24629	UNIT	24629			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37039"""	Cherokee, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
122	" ""37041"""	Chowan, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	14490	UNIT	14490			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37041"""	Chowan, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
123	" ""37043"""	Clay, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	9086	UNIT	9086			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37043"""	Clay, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
124	" ""37045"""	Cleveland, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	96861	UNIT	96861			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37045"""	Cleveland, NC	Southwest	Region C	37000	North Carolina	95000	Southeast	0	USA
125	" ""37047"""	Columbus, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	54806	UNIT	54806			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37047"""	Columbus, NC	South Central	Cape Fear	37000	North Carolina	95000	Southeast	0	USA
126	" ""37049"""	Craven, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	93325	UNIT	93325			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37049"""	Craven, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
127	" ""37051"""	Cumberland, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	304316	UNIT	304316			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37051"""	Cumberland, NC	South Central	Cumberland County	37000	North Carolina	95000	Southeast	0	USA
128	" ""37053"""	Currituck, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	18714	UNIT	18714			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37053"""	Currituck, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
129	" ""37055"""	Dare, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	30826	UNIT	30826			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37055"""	Dare, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
130	" ""37057"""	Davidson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	149663	UNIT	149663			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37057"""	Davidson, NC	Piedmont-Triad	DavidsonWorks, Inc.	37000	North Carolina	95000	Southeast	0	USA
131	" ""37059"""	Davie, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	35905	UNIT	35905			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37059"""	Davie, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	0	USA
132	" ""37061"""	Duplin, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	50182	UNIT	50182			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37061"""	Duplin, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
133	" ""37063"""	Durham, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	228978	UNIT	228978			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37063"""	Durham, NC	North Central	Durham	37000	North Carolina	95000	Southeast	0	USA
134	" ""37065"""	Edgecombe, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	55792	UNIT	55792			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37065"""	Edgecombe, NC	North Central	Turning Point	37000	North Carolina	95000	Southeast	0	USA
135	" ""37067"""	Forsyth, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	310807	UNIT	310807			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37067"""	Forsyth, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	0	USA
136	" ""37069"""	Franklin, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	48794	UNIT	48794			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37069"""	Franklin, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	0	USA
137	" ""37071"""	Gaston, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	191424	UNIT	191424			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37071"""	Gaston, NC	Southwest	Gaston County	37000	North Carolina	95000	Southeast	0	USA
138	" ""37073"""	Gates, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	10546	UNIT	10546			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37073"""	Gates, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
139	" ""37075"""	Graham, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	8054	UNIT	8054			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37075"""	Graham, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
140	" ""37077"""	Granville, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	50137	UNIT	50137			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37077"""	Granville, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	0	USA
141	" ""37079"""	Greene, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	19241	UNIT	19241			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37079"""	Greene, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
142	" ""37081"""	Guilford, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	428381	UNIT	428381			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37081"""	Guilford, NC	Piedmont-Triad	Greensboro/High Point/Guilford	37000	North Carolina	95000	Southeast	0	USA
143	" ""37083"""	Halifax, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	56788	UNIT	56788			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37083"""	Halifax, NC	Northeast	Turning Point	37000	North Carolina	95000	Southeast	0	USA
144	" ""37085"""	Harnett, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	93168	UNIT	93168			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37085"""	Harnett, NC	North Central	Triangle South	37000	North Carolina	95000	Southeast	0	USA
145	" ""37087"""	Haywood, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	54802	UNIT	54802			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37087"""	Haywood, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
146	" ""37089"""	Henderson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	91150	UNIT	91150			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37089"""	Henderson, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	0	USA
147	" ""37091"""	Hertford, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	22812	UNIT	22812			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37091"""	Hertford, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	0	USA
148	" ""37093"""	Hoke, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	34722	UNIT	34722			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37093"""	Hoke, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	0	USA
149	" ""37095"""	Hyde, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	5735	UNIT	5735			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37095"""	Hyde, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
150	" ""37097"""	Iredell, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	127136	UNIT	127136			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37097"""	Iredell, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	0	USA
151	" ""37099"""	Jackson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	33885	UNIT	33885			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37099"""	Jackson, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
152	" ""37101"""	Johnston, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	127487	UNIT	127487			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37101"""	Johnston, NC	North Central		37000	North Carolina	95000	Southeast	0	USA
153	" ""37103"""	Jones, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	10215	UNIT	10215			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37103"""	Jones, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
154	" ""37105"""	Lee, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	49853	UNIT	49853			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37105"""	Lee, NC	North Central	Triangle South	37000	North Carolina	95000	Southeast	0	USA
155	" ""37107"""	Lenoir, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	59421	UNIT	59421			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37107"""	Lenoir, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
156	" ""37109"""	Lincoln, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	65352	UNIT	65352			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37109"""	Lincoln, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	0	USA
157	" ""37111"""	McDowell, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	42796	UNIT	42796			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37111"""	McDowell, NC	Northwest	Region C	37000	North Carolina	95000	Southeast	0	USA
158	" ""37113"""	Macon, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	30415	UNIT	30415			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37113"""	Macon, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
159	" ""37115"""	Madison, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	19848	UNIT	19848			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37115"""	Madison, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	0	USA
160	" ""37117"""	Martin, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	25211	UNIT	25211			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37117"""	Martin, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	0	USA
161	" ""37119"""	Mecklenburg, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	720171	UNIT	720171			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37119"""	Mecklenburg, NC	Southwest		37000	North Carolina	95000	Southeast	0	USA
162	" ""37121"""	Mitchell, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	15860	UNIT	15860			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37121"""	Mitchell, NC	Northwest	High Country	37000	North Carolina	95000	Southeast	0	USA
163	" ""37123"""	Montgomery, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	26952	UNIT	26952			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37123"""	Montgomery, NC	South Central	Regional Partnership	37000	North Carolina	95000	Southeast	0	USA
164	" ""37125"""	Moore, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	76259	UNIT	76259			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37125"""	Moore, NC	South Central	Regional Partnership	37000	North Carolina	95000	Southeast	0	USA
165	" ""37127"""	Nash, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	88242	UNIT	88242			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37127"""	Nash, NC	North Central	Turning Point	37000	North Carolina	95000	Southeast	0	USA
166	" ""37129"""	New Hanover, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	164386	UNIT	164386			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37129"""	New Hanover, NC	Southeast	Cape Fear	37000	North Carolina	95000	Southeast	0	USA
167	" ""37131"""	Northampton, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	22063	UNIT	22063			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37131"""	Northampton, NC	Northeast	Turning Point	37000	North Carolina	95000	Southeast	0	USA
168	" ""37133"""	Onslow, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	151068	UNIT	151068			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37133"""	Onslow, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
169	" ""37135"""	Orange, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	118684	UNIT	118684			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37135"""	Orange, NC	North Central	Regional Partnership	37000	North Carolina	95000	Southeast	0	USA
170	" ""37137"""	Pamlico, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	12848	UNIT	12848			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37137"""	Pamlico, NC	Southeast	Eastern Carolina	37000	North Carolina	95000	Southeast	0	USA
171	" ""37139"""	Pasquotank, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	34787	UNIT	34787			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37139"""	Pasquotank, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
172	" ""37141"""	Pender, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	41610	UNIT	41610			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37141"""	Pender, NC	Southeast	Cape Fear	37000	North Carolina	95000	Southeast	0	USA
173	" ""37143"""	Perquimans, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	11533	UNIT	11533			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37143"""	Perquimans, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
174	" ""37145"""	Person, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	36085	UNIT	36085			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37145"""	Person, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	0	USA
175	" ""37147"""	Pitt, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	136605	UNIT	136605			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37147"""	Pitt, NC	Northeast	Region Q	37000	North Carolina	95000	Southeast	0	USA
176	" ""37149"""	Polk, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	18683	UNIT	18683			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37149"""	Polk, NC	Western	Region C	37000	North Carolina	95000	Southeast	0	USA
177	" ""37151"""	Randolph, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	132092	UNIT	132092			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37151"""	Randolph, NC	Piedmont-Triad	Regional Partnership	37000	North Carolina	95000	Southeast	0	USA
178	" ""37153"""	Richmond, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	46480	UNIT	46480			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37153"""	Richmond, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	0	USA
179	" ""37155"""	Robeson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	123913	UNIT	123913			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37155"""	Robeson, NC			37000	North Carolina	95000	Southeast	0	USA
180	" ""37157"""	Rockingham, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	92268	UNIT	92268			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37157"""	Rockingham, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	0	USA
181	" ""37159"""	Rowan, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	131852	UNIT	131852			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37159"""	Rowan, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	0	USA
182	" ""37161"""	Rutherford, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	63671	UNIT	63671			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37161"""	Rutherford, NC	Western	Region C	37000	North Carolina	95000	Southeast	0	USA
183	" ""37163"""	Sampson, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	60526	UNIT	60526			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37163"""	Sampson, NC	South Central	Triangle South	37000	North Carolina	95000	Southeast	0	USA
184	" ""37165"""	Scotland, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	35851	UNIT	35851			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37165"""	Scotland, NC	South Central	Lumber River	37000	North Carolina	95000	Southeast	0	USA
185	" ""37167"""	Stanly, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	58674	UNIT	58674			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37167"""	Stanly, NC	Southwest		37000	North Carolina	95000	Southeast	0	USA
186	" ""37169"""	Stokes, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	44974	UNIT	44974			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37169"""	Stokes, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	0	USA
187	" ""37171"""	Surry, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	71782	UNIT	71782			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37171"""	Surry, NC	Piedmont-Triad	Northwest Piedmont	37000	North Carolina	95000	Southeast	0	USA
188	" ""37173"""	Swain, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	13030	UNIT	13030			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37173"""	Swain, NC	Western	Southwestern	37000	North Carolina	95000	Southeast	0	USA
189	" ""37175"""	Transylvania, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	29619	UNIT	29619			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37175"""	Transylvania, NC	Western	Mountain Area	37000	North Carolina	95000	Southeast	0	USA
190	" ""37177"""	Tyrrell, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	4166	UNIT	4166			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37177"""	Tyrrell, NC	Northeast	Northeastern	37000	North Carolina	95000	Southeast	0	USA
191	" ""37179"""	Union, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	131661	UNIT	131661			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37179"""	Union, NC	Southwest	Centralina	37000	North Carolina	95000	Southeast	0	USA
192	" ""37181"""	Vance, NC	BEA_CA5N_0020	Population (persons) 2/	2001.0	43932	UNIT	43932			0	YR	The Year 2001	01/1/2001 0:00	Level	1	CNTY	" ""37181"""	Vance, NC	North Central	Kerr-Tar	37000	North Carolina	95000	Southeast	0	USA
